# Depth (Er)	r	theta (deg)	alpha (deg)	tx wannier (Er)	ty wannier (Er)	td wannier (Er)	wannier integral (Er)	tx bs (Er)	ty bs (Er)	td bs(Er)	mean 0->d1	gap 0->d1	bw d1	mean 0->d2	gap 0->d2	bw d2	mean 0->d3	gap 0->d3	bw d3
1.000000000000000000e+00	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	1.964216653693856285e-01	1.741123401375900270e-01	2.648594047315356702e-03	7.855387268490641173e-01	1.982170522707941418e-01	1.863876750264251980e-01	1.007653103941815505e-03	3.595190887790985279e+00	5.078874115487439500e-01	3.201354302183166745e+00	5.580079143686944576e+00	4.156506445807290007e+00	5.475464154489674051e+00	6.280941246283299861e+00	4.156734800159729737e+00	4.606952409805654014e+00
3.000000000000000000e+00	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	1.446757782079617360e-01	1.415594733610816836e-01	3.823741021094964609e-03	1.416100449984995624e+00	1.495269071440188391e-01	1.381296417152478306e-01	3.743294718086276080e-03	3.955291630398548364e+00	1.567039628246049032e+00	2.716886679647502412e+00	5.793148440820038658e+00	4.559436248658140123e+00	4.971841634534149179e+00	6.630672444355369066e+00	4.805168352177705771e+00	4.107320547069102545e+00
5.000000000000000000e+00	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	9.074552959288736953e-02	1.003240735455103033e-01	3.624121976351151516e-03	2.121900327910588580e+00	1.008198725076346614e-01	9.116416026796597682e-02	3.650729224974176134e-03	4.534243328776164539e+00	2.677082383800978072e+00	2.285455997798835348e+00	6.214681873983106897e+00	5.126059864364383323e+00	4.450127165022403020e+00	7.172847895463768886e+00	5.587103860745495254e+00	3.702500684293439370e+00
7.000000000000000000e+00	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	5.366622320053195117e-02	6.855834817330931641e-02	2.315272615380348838e-03	2.795461298010603279e+00	6.519616092452658329e-02	5.770975393206201343e-02	2.359349984314418336e-03	5.251356620595457159e+00	3.828659008555586496e+00	1.912091605337175038e+00	6.818896179408006297e+00	5.851408795022478238e+00	3.942474989943349772e+00	7.844695949001073920e+00	6.474329882487278809e+00	3.401215536965214170e+00
9.000000000000000000e+00	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	3.109887904420742186e-02	4.682298032383380715e-02	1.273954565469056881e-03	3.399990701619894473e+00	4.195472971732944201e-02	3.640206004683777669e-02	1.303854243699817395e-03	6.075880011826486182e+00	5.011720251587745700e+00	1.525150868432717521e+00	7.555497177987790636e+00	6.723293008238155011e+00	3.455792975776797338e+00	8.608375831634344166e+00	7.440659740790469989e+00	3.061389572269839654e+00
1.100000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	1.790524506190583828e-02	3.238203085540060366e-02	6.659972406834904855e-04	3.938278972885359330e+00	2.728753066507492303e-02	2.324436156622766703e-02	6.817193603098330862e-04	6.989624775382060839e+00	6.136045671846949823e+00	1.470447437032865068e+00	8.383561254068686353e+00	7.671019439090515313e+00	2.991679784022960753e+00	9.437812101626505523e+00	8.468770316638870810e+00	2.738635865333733932e+00
1.300000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	1.025837546727383434e-02	2.275256241795556300e-02	3.449527567493825995e-04	4.423237682134760540e+00	1.802848159794595562e-02	1.509956222149726884e-02	3.520801763340173241e-04	7.967535674893614583e+00	7.106815721546619002e+00	1.470915563773754542e+00	9.276790773566435888e+00	8.597597737835430465e+00	2.550534109290989448e+00	1.031365657096846711e+01	9.522465985269120026e+00	2.424241078351362599e+00
1.500000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	5.817818151310924502e-03	1.623671663425948347e-02	1.802029247896336185e-04	4.866685837869484388e+00	1.210860686660786972e-02	9.983929701144032484e-03	1.829586671464576448e-04	8.985123684632016605e+00	8.133327955311802526e+00	1.519301957360233768e+00	1.021266823232929966e+01	9.543009843250317203e+00	2.225694926146575270e+00	1.121750913648988401e+01	1.045202390751699184e+01	2.198720262001697456e+00
1.700000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	3.230154149452065578e-03	1.175172141827488664e-02	9.564350037314926539e-05	5.277448145034547622e+00	8.260976725610878410e-03	6.712747167986064106e-03	9.640373827420685611e-05	1.001813135578413494e+01	9.187086523880154232e+00	1.443868658453699050e+00	1.117201511247855272e+01	1.065273832475877569e+01	1.775779650098233242e+00	1.213287467322029123e+01	1.140558882218687486e+01	2.165950330315952854e+00
1.900000000000000000e+01	1.000000000000000000e+00	9.162669999999999959e+01	0.000000000000000000e+00	1.720843760007076482e-03	8.613183989504794025e-03	5.171097986872616844e-05	5.661859697071840003e+00	5.717893211280154764e-03	4.583000276888533203e-03	5.165596173256517369e-05	1.105100622839585434e+01	1.024743920313038714e+01	1.308813948410377126e+00	1.213213523718889064e+01	1.174204924405223949e+01	1.371573079352142788e+00	1.304384501826629617e+01	1.236177884578292385e+01	1.910836403652596438e+00
